code,start_date,end_date
000620.SZ,1996-10-29,2099-01-01
000622.SZ,1996-11-07,2099-01-01
000623.SZ,1996-10-28,2099-01-01
000625.SZ,1997-06-10,2099-01-01
000626.SZ,1996-11-28,2099-01-01
000627.SZ,1996-11-12,2099-01-01
000628.SZ,1996-11-18,2099-01-01
000629.SZ,1996-11-15,2099-01-01
000630.SZ,1996-11-20,2099-01-01
000631.SZ,1996-11-22,2099-01-01
000632.SZ,1996-11-21,2099-01-01
000633.SZ,1996-11-12,2099-01-01
000635.SZ,1996-11-20,2099-01-01
000636.SZ,1996-11-29,2099-01-01
000637.SZ,1996-11-14,2099-01-01
000638.SZ,1996-11-26,2099-01-01
000639.SZ,1996-11-26,2099-01-01
000650.SZ,1996-12-10,2099-01-01
000651.SZ,1996-11-18,2099-01-01
000652.SZ,1996-11-28,2099-01-01
000655.SZ,1996-11-28,2099-01-01
000656.SZ,1996-11-28,2099-01-01
000657.SZ,1996-12-05,2099-01-01
000659.SZ,1996-12-03,2099-01-01
000661.SZ,1996-12-18,2099-01-01
000662.SZ,1996-12-16,2099-01-01
000663.SZ,1996-12-06,2099-01-01
000665.SZ,1996-12-10,2099-01-01
000666.SZ,1996-12-10,2099-01-01
000667.SZ,1996-12-05,2099-01-01
000668.SZ,1996-12-10,2099-01-01
000669.SZ,1996-12-10,2099-01-01
000670.SZ,1996-12-17,2099-01-01
000671.SZ,1996-12-18,2099-01-01
000672.SZ,1996-12-18,2099-01-01
000673.SZ,1997-01-24,2099-01-01
000676.SZ,1996-12-24,2099-01-01
000677.SZ,1996-12-26,2099-01-01
000678.SZ,1997-01-06,2099-01-01
000679.SZ,1997-01-24,2099-01-01
000680.SZ,1997-01-22,2099-01-01
000681.SZ,1997-01-21,2099-01-01
000682.SZ,1997-01-21,2099-01-01
000683.SZ,1997-01-31,2099-01-01
000685.SZ,1997-01-23,2099-01-01
000686.SZ,1997-02-27,2099-01-01
000687.SZ,1997-02-21,2099-01-01
000688.SZ,1997-01-20,2099-01-01
000690.SZ,1997-01-28,2099-01-01
000691.SZ,1997-02-28,2099-01-01
000692.SZ,1997-02-27,2099-01-01
000693.SZ,1997-02-26,2099-01-01
000695.SZ,1997-02-18,2099-01-01
000697.SZ,1997-03-25,2099-01-01
000698.SZ,1997-02-20,2099-01-01
000700.SZ,1997-02-28,2099-01-01
000701.SZ,1997-02-26,2099-01-01
